Code,Index,IsTurnedOn,Name,longname,NumCohorts,NumGeneTypes,NumStages,NumSpawns,NumAgeClassSize,NumStocks,VerticallyMigrates,HorizontallyMigrates,NumMigrations,MultiYrMigrations,ExternalReproduction,RecruitType,IsFished,IsImpacted,isTAC,GroupType,IsPredator,IsCover,IsSiliconDep,IsAssessed,IsCatchGrazer,OverWinters,isCultured,isHabDepend,numMoveEntries,isBioEroder,isSupplemented,isExternal,IsHeatMap,IsLTL,IsBenthos,IsFish,IsBiggerthanfish,Large_group,Large_group_alt,Large_group_alt2,Large_group_alt3,Subgroup,isVertebrate
AUR,10,1,Aurelia,Moon jelly,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,LG_ZOO,1,0,0,0,0,0,0,0,4,0,0,0,1,1,0,0,0,Zooplankton,Zooplankton,Zooplankton,Jellies,LTL,Invertebrate
SQX,11,1,Squid,Squid,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,LG_ZOO,1,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0,0,Benthos,Benthos,Benthos,Shrimp & squid,Benthos,Invertebrate
BMD,12,1,Macrobenth_Deep,Deep macro-zoobenthos,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,MOB_EP_OTHER,1,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0,0,Benthos,Benthos,Benthos,Benthos,Benthos,Invertebrate
BD,13,1,Deposit_Feeder,Deposit feeders,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,SED_EP_FF,1,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0,0,Benthos,Benthos,Benthos,Benthos,Benthos,Invertebrate
BG,14,1,Benthic_grazer,Benthic grazers,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,MOB_EP_OTHER,1,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0,0,Benthos,Benthos,Benthos,Benthos,Benthos,Invertebrate
BMS,15,1,Octopi,Octopi,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,MOB_EP_OTHER,1,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0,0,Benthos,Benthos,Benthos,Benthos,Benthos,Invertebrate
DUN,16,1,Dungeness,Dungeness crab,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,MOB_EP_OTHER,1,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0,0,Benthos,Benthos,Benthos,Benthos,Benthos,Invertebrate
BML,17,1,Crab,Crabs,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,MOB_EP_OTHER,1,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0,0,Benthos,Benthos,Benthos,Benthos,Benthos,Invertebrate
PWN,18,1,Shrimp,Shrimp,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,PWN,1,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0,0,Benthos,Benthos,Benthos,Shrimp & squid,Benthos,Invertebrate
BFF,19,1,Filter_Other,Benthic filter feeder,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,SED_EP_FF,1,1,0,0,0,0,0,0,4,0,0,0,1,0,1,0,0,Benthos,Benthos,Benthos,Benthos,Benthos,Invertebrate
